Audio,Audio_Haptic,Haptic,Visual_DVE,Visual_SVE,Visual_Audio_DVE,Visual_Audio_SVE,Visual_Audio_Haptic_DVE,Visual_Audio_Haptic_SVE,Visual_Haptic_SVE,Visual_Haptic_DVE,Subject,Trial
83.06949,89.4351,81.96967,98.30029,97.80037,97.71705,100,96.33395,100,98.70022,100,Subject_1,1
89.40176,90.46825,75.37077,96.5839,98.35027,96.48392,99.85002,98.5669,99.35011,97.50042,98.18364,Subject_1,2
84.90252,96.01733,80.06999,97.51708,98.41693,95.33411,98.33361,99.4001,99.35011,98.88352,96.78387,Subject_1,3
91.90135,93.33444,81.41976,96.91718,95.58407,95.60073,100,96.68388,99.20013,97.86702,92.65122,Subject_1,4
88.46859,98.85019,77.53708,89.26846,94.70088,92.40127,97.26712,96.80053,96.30061,95.26746,89.6184,Subject_1,5
88.98517,89.56841,89.45176,99.48342,100,100,100,99.05016,92.11798,98.26695,100,Subject_2,1
92.68456,88.1853,85.23579,98.58357,100,100,100,99.5834,99.2168,99.41676,99.75004,Subject_2,2
89.8017,87.71871,91.83469,99.53341,99.8167,98.86685,99.63339,99.90002,100,99.50008,98.90018,Subject_2,3
93.55107,90.41827,85.50242,97.4171,100,97.06715,100,99.30012,99.20013,98.31695,100,Subject_2,4
91.3681,89.90168,84.23596,97.03383,100,99.28345,98.98351,97.80037,97.73371,98.81686,99.20013,Subject_2,5
70.98817,86.10232,93.13448,100,97.68372,100,95.90068,99.60007,100,100,100,Subject_3,1
96.2173,93.23446,91.1848,100,99.35011,100,97.55041,98.76687,100,100,100,Subject_3,2
95.51741,97.3671,92.9845,98.76687,100,99.20013,97.13381,100,100,100,99.03349,Subject_3,3
91.65139,96.00066,86.00233,99.26679,98.06699,99.4001,97.10049,99.63339,99.66673,100,99.36678,Subject_3,4
87.90202,95.61739,87.31878,97.2338,96.80053,97.85036,98.41693,99.55007,98.45026,100,97.95034,Subject_3,5
97.6004,100,87.46876,99.33344,100,100,97.7837,98.15031,100,100,100,Subject_4,1
98.76687,99.00017,97.3671,100,100,100,100,99.83336,100,100,100,Subject_4,2
93.96767,99.53341,89.21846,98.68356,100,100,100,100,100,100,100,Subject_4,3
95.28412,98.6169,82.55291,99.03349,100,98.78354,99.50008,98.60023,100,100,100,Subject_4,4
94.66756,98.15031,92.35127,98.58357,100,100,99.63339,98.21696,100,99.55007,98.91685,Subject_4,5
